dv_any_lifetime,age_group,marital_status,education_level,earns_income,employment_status,disability_status,spouse_income_relation,locality_type,feels_unsafe_home,conflict_frequency,food_insecurity_score,feels_unsafe_day,feels_unsafe_night,combined_safety_index,dv_common_perception,vaw_problem_perception,mobility_frequency,dv_physical,dv_verbal,dv_economic,dv_other,dv_sexual,will_seek_help_dv,help_source_dv,will_seek_help_harass,help_source_harass,unsafe_reason_1,unsafe_reason_2,unsafe_reason_3,unsafe_reason_4,unsafe_reason_5,unsafe_reason_6,unsafe_reason_7,unsafe_reason_8,unsafe_reason_9,unsafe_reason_10,unsafe_reason_11,food_insec,max_dv_count,Food_Insecurity_Index,DV_common_perception_score,DV_Common_Perception_norm,VAW_Perception_Score,VAW_Perception_norm,DV_Exposure,DV_Type_Count,Unsafe_Score,WellBeing_Score
1,30 – 39 years,Living with Partner,Technical / vocational,0,Fulltime caretaker,0,NA,Rural,0,Once or twice,Several coping mechanisms (5-8),NA,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Once or twice a month,1,1,1,0,0,1,Seeking support from women’s groups/NGOs/CSOs,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,0,0,0,0,1,4,0,0.5277777777777778
1,30 – 39 years,Living with Partner,College,0,Fulltime caretaker,0,NA,Urban,1,Never,Some coping mechanisms (1-4),NA,0,DK/Refusal,Uncommon,A little bit,Once or twice a month,1,1,1,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,3,6,0.375,1,0.3333333333333333,1,0.3333333333333333,1,4,0.06666666666666667,0.6305555555555555
1,18 – 29 years,Single,Technical / vocational,NA,Employed,0,NA,Urban,0,Weekly,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Common,Not at all,2-3 times per week,1,1,1,0,0,0,NA,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.6666666666666666,0,0,1,4,0.2222222222222222,0.6620370370370371
1,60 years and older,Living with Partner,Completed secondary,0,Fulltime caretaker,0,NA,Rural,0,Daily,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,A little bit,Once a week,1,1,1,0,0,1,Seek support from family,1,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,0,0,1,0.3333333333333333,1,4,0.1111111111111111,0.5740740740740741
1,50 – 59 years,Living with Partner,Completed secondary,0,Fulltime caretaker,1,NA,Urban,0,Once or twice,Several coping mechanisms (5-8),NA,0,DK/Refusal,Common,A lot,2-3 times per week,1,1,1,0,0,1,Access to women’s centres,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,2,0.6666666666666666,3,1,1,4,0.5555555555555556,0.3458333333333333
1,30 – 39 years,Living with Partner,Less than primary,0,Fulltime caretaker,0,NA,Urban,0,Once or twice,Several coping mechanisms (5-8),NA,0,Feels unsafe/Sometimes feels unsafe,Very common,Somewhat,2-3 times per week,1,1,1,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,3,1,2,0.6666666666666666,1,4,0.5555555555555556,0.30092592592592593
1,30 – 39 years,Living with Partner,Completed primary,NA,Employed,1,More,Rural,1,Weekly,Several coping mechanisms (5-8),0,0,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Daily,1,1,1,0,0,1,Approach community leaders for support,1,Approach community leaders for support,1,1,1,1,0,0,1,0,0,0,0,7,6,0.875,2,0.6666666666666666,1,0.3333333333333333,1,4,0.36363636363636365,0.32840909090909093
1,18 – 29 years,Living with Partner,Completed primary,0,Fulltime caretaker,0,NA,Rural,0,Once or twice,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Common,Not at all,Daily,1,1,1,0,0,0,NA,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.6666666666666666,0,0,1,4,0.2222222222222222,0.6620370370370371
1,50 – 59 years,Living with Partner,Completed secondary,1,Fulltime caretaker,0,Less,Urban,0,Never,No coping mechanisms,0,0,Feels unsafe/Sometimes feels unsafe,Don't know,Not at all,2-3 times per week,1,1,1,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,0,0,1,4,0,0.7777777777777778
1,18 – 29 years,Living with Partner,Completed secondary,0,Fulltime caretaker,0,NA,Rural,0,Never,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Once a week,1,1,1,0,0,1,Seeking support from women’s groups/NGOs/CSOs,1,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,2,0.6666666666666666,2,0.6666666666666666,1,4,0.4444444444444444,0.46296296296296297
1,40 – 49 years,Living with Partner,Completed secondary,NA,Employed,0,Less,Urban,0,Once or twice,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Daily,1,1,1,0,0,1,"Other, specify",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,1,0.3333333333333333,0,0,1,4,0.1111111111111111,0.5740740740740741
