dv_any_lifetime,age_group,marital_status,education_level,earns_income,employment_status,disability_status,spouse_income_relation,locality_type,feels_unsafe_home,conflict_frequency,food_insecurity_score,feels_unsafe_day,feels_unsafe_night,combined_safety_index,dv_common_perception,vaw_problem_perception,mobility_frequency,dv_physical,dv_verbal,dv_economic,dv_other,dv_sexual,will_seek_help_dv,help_source_dv,will_seek_help_harass,help_source_harass,unsafe_reason_1,unsafe_reason_2,unsafe_reason_3,unsafe_reason_4,unsafe_reason_5,unsafe_reason_6,unsafe_reason_7,unsafe_reason_8,unsafe_reason_9,unsafe_reason_10,unsafe_reason_11,food_insec
No,18 – 29 years,Single,Completed secondary,Yes,Unemployed,"No, I don’t have difficulties",NA,Urban,No,Never,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,A little bit,Daily,No,No,No,No,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,18 – 29 years,Single,College,No,Unemployed,"No, I don’t have difficulties",NA,Urban,No,Never,Some coping mechanisms (1-4),Very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,2-3 times per week,No,No,No,No,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,18 – 29 years,Single,College,Yes,Unemployed,"Yes, I have difficulties",NA,Rural,Yes,Weekly,Several coping mechanisms (5-8),Very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Once or twice a month,No,No,No,No,No,Yes,Talk with friends for support or guidance,Yes,Talk with friends for support or guidance,No,No,Yes,No,Yes,No,Yes,No,No,No,No,6
No,30 – 39 years,Living with Partner,College,Yes,Fulltime caretaker,"No, I don’t have difficulties",Less,Urban,Yes,Daily,Some coping mechanisms (1-4),Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Never,No,No,No,No,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Call/go to police,No,Yes,Yes,No,No,No,No,No,No,No,No,4
No,30 – 39 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,NA,No coping mechanisms,Very safe,Very safe,Feels safe,Very uncommon,Not at all,2-3 times per week,No,No,No,No,No,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,30 – 39 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Never,Several coping mechanisms (5-8),Safe,Very safe,Feels safe,Uncommon,Not at all,Never,No,No,No,No,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
No,30 – 39 years,Living with Partner,Completed primary,NA,Employed,"No, I don’t have difficulties",Same,Rural,No,Never,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Very uncommon,Not at all,Never,No,No,No,No,No,Yes,Call helpline,Yes,Call helpline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,18 – 29 years,Single,Completed secondary,Yes,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Weekly,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Very common,Somewhat,2-3 times per week,No,No,No,No,No,Yes,Seek support from family,Yes,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
No,18 – 29 years,Single,Completed secondary,No,Unemployed,"No, I don’t have difficulties",NA,Urban,No,NA,Some coping mechanisms (1-4),Not very safe,Safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,A little bit,Daily,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,40 – 49 years,Single,College,No,Unemployed,"No, I don’t have difficulties",NA,Urban,No,NA,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Very uncommon,Somewhat,2-3 times per week,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,40 – 49 years,Living with Partner,College,No,Other,"Yes, I have difficulties",NA,Rural,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Daily,No,No,No,No,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,18 – 29 years,Single,Technical / vocational,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Very safe,Very safe,Feels safe,Uncommon,Not at all,2-3 times per week,No,No,No,No,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Call helpline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
No,18 – 29 years,Living with Partner,Completed secondary,No,Other,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Very safe,Very safe,Feels safe,Very uncommon,Not at all,Daily,No,No,No,No,No,Yes,Call/go to police,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,18 – 29 years,Single,Post College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,NA,No coping mechanisms,Not safe at all,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,30 – 39 years,Single,Completed secondary,Yes,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,Yes,NA,Some coping mechanisms (1-4),Very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very common,Somewhat,Once or twice a month,No,No,No,No,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seeking support from women’s groups/NGOs/CSOs,No,No,No,No,No,No,No,No,No,NA,NA,4
No,60 years and older,Living with Partner,Completed secondary,No,Other,"Yes, I have difficulties",NA,Urban,No,Monthly,Some coping mechanisms (1-4),Very safe,Very safe,Feels safe,Very uncommon,Somewhat,Once a week,No,No,No,No,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,60 years and older,Single,Completed primary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,NA,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Very uncommon,Not at all,Once or twice a month,No,No,No,No,No,Yes,Don't know,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
No,18 – 29 years,Single,Technical / vocational,No,Student,"Yes, I have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Somewhat,Never,No,No,No,No,No,No,NA,Yes,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,60 years and older,Living with Partner,College,Yes,Fulltime caretaker,"No, I don’t have difficulties",Less,Urban,No,Never,Some coping mechanisms (1-4),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,A lot,Never,No,No,No,No,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,40 – 49 years,Living with Partner,Completed secondary,NA,Employed,"Yes, I have difficulties",Less,Rural,No,Once or twice,Some coping mechanisms (1-4),Not very safe,Safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Don't know,Never,No,No,No,No,No,Yes,Call/go to police,Yes,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,18 – 29 years,Living with Partner,Technical / vocational,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Once or twice,No coping mechanisms,Very safe,Safe,Feels safe,Very uncommon,Not at all,2-3 times per week,No,No,No,No,No,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,50 – 59 years,Living with Partner,Technical / vocational,NA,Employed,"Yes, I have difficulties",More,Urban,No,Never,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Very uncommon,Not at all,Once or twice a month,No,No,No,No,No,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
No,18 – 29 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Once or twice,No coping mechanisms,Very safe,Don't know,DK/Refusal,Uncommon,Not at all,Never,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,18 – 29 years,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Weekly,No coping mechanisms,Very safe,Safe,Feels safe,Very uncommon,Not at all,Once or twice a month,No,No,No,No,No,Yes,Seek support from family,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,18 – 29 years,Single,Technical / vocational,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,Some coping mechanisms (1-4),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Not at all,Daily,No,No,No,No,No,Don't know,NA,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,60 years and older,Living with Partner,Completed secondary,No,Other,"No, I don’t have difficulties",NA,Rural,No,Once or twice,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Never,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
No,30 – 39 years,Living with Partner,College,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Never,No coping mechanisms,Very safe,Safe,Feels safe,Very uncommon,Somewhat,2-3 times per week,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed secondary,No,Other,"No, I don’t have difficulties",NA,Rural,Yes,Once or twice,No coping mechanisms,Safe,Safe,Feels safe,Very uncommon,Not at all,Once or twice a month,No,No,No,No,No,Yes,Seeking support from women’s groups/NGOs/CSOs,No,NA,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,0
No,40 – 49 years,Living with Partner,Completed secondary,Yes,Fulltime caretaker,"No, I don’t have difficulties",More,Rural,No,Monthly,No coping mechanisms,Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Once a week,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,30 – 39 years,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Never,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Uncommon,Not at all,2-3 times per week,No,No,No,No,No,Yes,Access to women’s centres,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,30 – 39 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Rural,No,Never,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Somewhat,2-3 times per week,No,No,No,No,No,Yes,Seek support from family,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,50 – 59 years,Separated / Divorced,College,No,Other,"No, I don’t have difficulties",NA,Rural,No,Never,Some coping mechanisms (1-4),Not safe at all,Not safe at all,Feels unsafe/Sometimes feels unsafe,Uncommon,A lot,Once or twice a month,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
No,50 – 59 years,Separated / Divorced,College,NA,Employed,"Yes, I have difficulties",NA,Urban,No,Never,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Very uncommon,A little bit,Daily,No,No,No,No,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
No,50 – 59 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,NA,No coping mechanisms,Very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Not at all,2-3 times per week,No,No,No,No,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,30 – 39 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Never,No coping mechanisms,Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Don't know,Not at all,Once or twice a month,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,50 – 59 years,Widowed,Completed secondary,No,Other,"No, I don’t have difficulties",NA,Rural,No,Never,Some coping mechanisms (1-4),Safe,Very safe,Feels safe,Don't know,Not at all,Once or twice a month,No,No,No,No,No,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
No,50 – 59 years,Living with Partner,Technical / vocational,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Once or twice,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Very uncommon,Not at all,Once or twice a month,No,No,No,No,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,50 – 59 years,Living with Partner,Completed primary,No,Other,"Yes, I have difficulties",NA,Urban,No,Once or twice,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Don't know,Somewhat,Never,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
No,30 – 39 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Never,No coping mechanisms,Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Common,Not at all,Never,No,No,No,No,No,Yes,Seek support from family,Yes,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,18 – 29 years,Single,Completed secondary,No,Student,"No, I don’t have difficulties",NA,Rural,No,Once or twice,No coping mechanisms,Don't know,Not very safe,DK/Refusal,Very uncommon,Don't know,Once or twice a month,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,18 – 29 years,Single,College,No,Student,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Very safe,Safe,Feels safe,Don't know,A little bit,Daily,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,30 – 39 years,Separated / Divorced,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Several coping mechanisms (5-8),Very safe,Very safe,Feels safe,Common,Not at all,Once or twice a month,No,No,No,No,No,Don't know,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
No,40 – 49 years,Widowed,College,NA,Employed,"Yes, I have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Never,No,No,No,No,No,Yes,Seek support from family,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
No,60 years and older,Widowed,College,No,Other,"Yes, I have difficulties",NA,Urban,No,Never,No coping mechanisms,Very safe,Very safe,Feels safe,Common,Don't know,Never,No,No,No,No,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,18 – 29 years,Single,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Common,Not at all,Daily,No,No,No,No,No,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,50 – 59 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Never,No coping mechanisms,Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,No,No,No,No,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,40 – 49 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Rural,Yes,Never,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Very uncommon,A lot,Never,No,No,No,No,No,Yes,Seek support from family,Don't know,NA,No,No,No,No,No,No,No,No,No,No,No,1
No,30 – 39 years,Living with Partner,College,Yes,Fulltime caretaker,"No, I don’t have difficulties",Same,Urban,No,Never,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Not at all,Never,No,No,No,No,No,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,18 – 29 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Weekly,No coping mechanisms,Safe,Safe,Feels safe,Common,A little bit,Daily,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed secondary,No,Other,"No, I don’t have difficulties",NA,Rural,No,Once or twice,Some coping mechanisms (1-4),Very safe,Don't know,DK/Refusal,Very uncommon,Not at all,2-3 times per week,No,No,No,No,No,Yes,Seek support from family,Yes,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,18 – 29 years,Living with Partner,College,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Never,No coping mechanisms,Very safe,Very safe,Feels safe,Uncommon,Not at all,Daily,No,No,No,No,No,Yes,Access to women’s centres,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,18 – 29 years,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Never,Some coping mechanisms (1-4),Very safe,Very safe,Feels safe,Very uncommon,Not at all,Once or twice a month,No,No,No,No,No,Don't know,NA,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,50 – 59 years,Living with Partner,Technical / vocational,NA,Employed,"Yes, I have difficulties",Same,Urban,No,Never,No coping mechanisms,Not very safe,Very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Don't know,Daily,No,No,No,No,No,Yes,Seek support from family,Yes,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,30 – 39 years,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,Some coping mechanisms (1-4),Don't know,Not very safe,DK/Refusal,Very uncommon,Don't know,2-3 times per week,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
No,50 – 59 years,Living with Partner,College,NA,Employed,"Yes, I have difficulties",More,Rural,No,Monthly,No coping mechanisms,Safe,Safe,Feels safe,Very uncommon,Not at all,Never,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,40 – 49 years,Single,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Very safe,Safe,Feels safe,Common,Not at all,2-3 times per week,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,40 – 49 years,Living with Partner,Completed primary,NA,Employed,"Yes, I have difficulties",More,Rural,No,Never,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Uncommon,Not at all,Once or twice a month,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
No,18 – 29 years,Single,College,No,Other,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Daily,No,No,No,No,No,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,30 – 39 years,Living with Partner,College,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Weekly,Several coping mechanisms (5-8),Safe,Don't know,DK/Refusal,Uncommon,Not at all,Once or twice a month,No,No,No,No,No,Don't know,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
No,40 – 49 years,Living with Partner,College,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Monthly,No coping mechanisms,Safe,Safe,Feels safe,Very uncommon,A little bit,Once a week,No,No,No,No,No,Don't know,NA,Yes,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed primary,No,Other,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Very safe,Safe,Feels safe,Uncommon,A little bit,Never,No,No,No,No,No,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,30 – 39 years,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",Less,Rural,No,Never,No coping mechanisms,Safe,Very safe,Feels safe,Uncommon,Not at all,Once or twice a month,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,50 – 59 years,Single,Completed secondary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Monthly,Some coping mechanisms (1-4),Safe,Very safe,Feels safe,Very uncommon,Not at all,Once or twice a month,No,No,No,No,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
No,60 years and older,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Weekly,No coping mechanisms,Safe,Don't know,DK/Refusal,Very uncommon,Not at all,2-3 times per week,No,No,No,No,No,No,NA,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,18 – 29 years,Living with Partner,College,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Monthly,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Never,No,No,No,No,No,Yes,Call/go to police,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,50 – 59 years,Living with Partner,Completed primary,No,Other,"No, I don’t have difficulties",NA,Rural,No,Never,No coping mechanisms,Very safe,Very safe,Feels safe,Don't know,Not at all,Never,No,No,No,No,No,Yes,Approach community leaders for support,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,18 – 29 years,Single,College,Yes,Student,"No, I don’t have difficulties",NA,Urban,No,Monthly,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,A little bit,2-3 times per week,No,No,No,No,No,Yes,Call/go to police,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
No,30 – 39 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Same,Urban,No,Never,Some coping mechanisms (1-4),Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very uncommon,Somewhat,2-3 times per week,No,No,No,No,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
No,60 years and older,Living with Partner,Completed primary,No,Other,"No, I don’t have difficulties",NA,Rural,No,Never,Some coping mechanisms (1-4),Safe,Don't know,DK/Refusal,Uncommon,Not at all,2-3 times per week,No,No,No,No,No,Don't know,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,30 – 39 years,Living with Partner,College,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,NA,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Very uncommon,A little bit,Never,No,No,No,No,No,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
No,30 – 39 years,Living with Partner,Post College,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,NA,No coping mechanisms,Very safe,Safe,Feels safe,Very uncommon,Not at all,2-3 times per week,No,No,No,No,No,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,30 – 39 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Rural,No,Once or twice,Some coping mechanisms (1-4),Very safe,Very safe,Feels safe,Very common,Don't know,Daily,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,50 – 59 years,Single,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Urban,Yes,Monthly,Some coping mechanisms (1-4),Not safe at all,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,No,No,No,No,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Call/go to police,No,No,No,No,No,No,No,No,No,No,No,1
No,18 – 29 years,Single,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Very safe,Safe,Feels safe,Common,Somewhat,2-3 times per week,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,30 – 39 years,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",Same,Rural,No,Once or twice,Some coping mechanisms (1-4),Very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Daily,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,40 – 49 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Rural,No,Once or twice,Some coping mechanisms (1-4),Very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Never,No,No,No,No,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,18 – 29 years,Living with Partner,Technical / vocational,NA,Employed,"No, I don’t have difficulties",Less,Rural,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,2-3 times per week,No,No,No,No,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
No,60 years and older,Living with Partner,Completed primary,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Daily,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Common,Somewhat,2-3 times per week,No,No,No,No,No,Yes,Approach community leaders for support,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,30 – 39 years,Living with Partner,Completed primary,NA,Employed,"No, I don’t have difficulties",Less,Rural,No,Once or twice,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Uncommon,Not at all,Daily,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,30 – 39 years,Living with Partner,Less than primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Once or twice,Several coping mechanisms (5-8),Very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Uncommon,A lot,Never,No,No,No,No,No,Yes,Don't know,Yes,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
