dv_any_lifetime,age_group,marital_status,education_level,earns_income,employment_status,disability_status,spouse_income_relation,locality_type,feels_unsafe_home,conflict_frequency,food_insecurity_score,feels_unsafe_day,feels_unsafe_night,combined_safety_index,dv_common_perception,vaw_problem_perception,mobility_frequency,dv_physical,dv_verbal,dv_economic,dv_other,dv_sexual,will_seek_help_dv,help_source_dv,will_seek_help_harass,help_source_harass,unsafe_reason_1,unsafe_reason_2,unsafe_reason_3,unsafe_reason_4,unsafe_reason_5,unsafe_reason_6,unsafe_reason_7,unsafe_reason_8,unsafe_reason_9,unsafe_reason_10,unsafe_reason_11,food_insec
Others,40 – 49 years,Separated / Divorced,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Uncommon,Don't know,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Others,60 years and older,Living with Partner,Completed secondary,Yes,Other,"No, I don’t have difficulties",Less,Urban,No,Once or twice,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Don't know,A little bit,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,"Other, specify",Yes,Call helpline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Others,40 – 49 years,Living with Partner,Less than primary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Daily,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,2-3 times per week,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Others,50 – 59 years,Widowed,Completed secondary,Yes,Other,"Yes, I have difficulties",NA,Urban,No,Never,Several coping mechanisms (5-8),Not safe at all,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,2-3 times per week,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Call/go to police,Yes,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Others,30 – 39 years,Living with Partner,Technical / vocational,No,Other,"No, I don’t have difficulties",NA,Rural,Refused,Don't know,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Refused,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Go to health facility,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Others,50 – 59 years,Widowed,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,Yes,Daily,Several coping mechanisms (5-8),Very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Somewhat,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek help from shelter or safehouse for women,Yes,Seek help from shelter or safehouse for women,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,5
Others,18 – 29 years,Single,Technical / vocational,NA,Employed,"No, I don’t have difficulties",NA,Urban,Yes,Never,Some coping mechanisms (1-4),Not very safe,Don't know,DK/Refusal,Don't know,Don't know,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Seek support from family,No,No,No,No,No,No,No,No,No,No,No,1
Others,30 – 39 years,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Monthly,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,2-3 times per week,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,60 years and older,Living with Partner,College,No,Other,"Yes, I have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Don't know,DK/Refusal,Common,A little bit,Never,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,50 – 59 years,Widowed,Completed primary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Rural,No,Once or twice,No coping mechanisms,Very safe,Safe,Feels safe,Very common,A little bit,Never,Don't know,Don't know,Don't know,Don't know,Don't know,No,NA,Yes,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,18 – 29 years,Living with Partner,Less than primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Not at all,Never,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Don't know,Yes,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Others,60 years and older,Living with Partner,Less than primary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Never,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Uncommon,Not at all,Once or twice a month,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,"Other, specify",Yes,"Other, specify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Others,40 – 49 years,Living with Partner,Completed primary,NA,Employed,"Yes, I have difficulties",Same,Rural,Yes,Once or twice,Several coping mechanisms (5-8),Very safe,Very safe,Feels safe,Uncommon,Somewhat,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Call/go to police,Yes,Call/go to police,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,8
Others,60 years and older,Separated / Divorced,Completed secondary,Yes,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,Yes,Don't know,Some coping mechanisms (1-4),Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,NA,Don't know,NA,No,Don't know,Yes,No,No,No,No,Don't know,No,Don't know,No,3
Others,30 – 39 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Monthly,No coping mechanisms,Safe,Safe,Feels safe,Uncommon,Not at all,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,30 – 39 years,Single,Completed primary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,NA,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Common,A lot,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Others,18 – 29 years,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Weekly,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,A little bit,2-3 times per week,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Others,50 – 59 years,Living with Partner,Less than primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Once or twice,Some coping mechanisms (1-4),Very safe,Very safe,Feels safe,Common,A little bit,2-3 times per week,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Others,18 – 29 years,Living with Partner,Completed primary,Yes,Fulltime caretaker,"No, I don’t have difficulties",N/A,Rural,No,Never,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Very uncommon,Not at all,Once or twice a month,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek help from shelter or safehouse for women,Yes,Seek help from shelter or safehouse for women,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Others,40 – 49 years,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Once or twice,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Very uncommon,A little bit,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Others,50 – 59 years,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Not at all,Once or twice a month,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Access to women’s centres,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
