"dv_any_lifetime","age_group","marital_status","education_level","earns_income","employment_status","disability_status","spouse_income_relation","locality_type","feels_unsafe_home","conflict_frequency","food_insecurity_score","feels_unsafe_day","feels_unsafe_night","combined_safety_index","dv_common_perception","vaw_problem_perception","mobility_frequency","will_seek_help_dv","help_source_dv","will_seek_help_harass","help_source_harass","unsafe_reason_1","unsafe_reason_2","unsafe_reason_3","unsafe_reason_4","unsafe_reason_5","unsafe_reason_6","unsafe_reason_7","unsafe_reason_8","unsafe_reason_9","unsafe_reason_10","unsafe_reason_11","food_insec","max_dv_count","Food_Insecurity_Index","DV_common_perception_score","DV_Common_Perception_norm","VAW_Perception_Score","VAW_Perception_norm","DV_Exposure","DV_Type_Count","Unsafe_Score","WellBeing_Score","DV_Type"
1,"30 – 39 years","Living with Partner","Completed secondary",NA,"Employed",0,NA,"Rural",0,"Once or twice","Several coping mechanisms (5-8)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","2-3 times per week",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,3,1,3,1,1,5,0.916666666666667,0.166666666666667,"Denial_of_Communication"
1,"18 – 29 years","Single","Completed secondary",0,"Unemployed",0,NA,"Rural",1,"Once or twice","Several coping mechanisms (5-8)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A little bit","Once a week",1,"Access to women’s centres",1,"Call/go to police",0,0,0,0,0,0,0,0,0,NA,0,8,6,1,2,0.666666666666667,1,0.333333333333333,1,2,0.181818181818182,0.494949494949495,"Verbal"
1,"18 – 29 years","Living with Partner","College",NA,"Employed",0,NA,"Urban",0,"Weekly","Several coping mechanisms (5-8)",0.333333333333333,NA,"DK/Refusal","Very uncommon","A lot","Daily",1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,0,0,3,1,1,4,0.444444444444444,0.337962962962963,"Physical"
1,"18 – 29 years","Living with Partner","College",NA,"Employed",0,NA,"Urban",0,"Weekly","Several coping mechanisms (5-8)",0.333333333333333,NA,"DK/Refusal","Very uncommon","A lot","Daily",1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,0,0,3,1,1,4,0.444444444444444,0.337962962962963,"Verbal"
1,"18 – 29 years","Living with Partner","College",NA,"Employed",0,NA,"Urban",0,"Weekly","Several coping mechanisms (5-8)",0.333333333333333,NA,"DK/Refusal","Very uncommon","A lot","Daily",1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,0,0,3,1,1,4,0.444444444444444,0.337962962962963,"Sexual_Harassment"
1,"18 – 29 years","Single","Technical / vocational",NA,"Employed",0,NA,"Rural",0,"Weekly","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Very common","A lot","Once or twice a month",1,"Approach community leaders for support",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,3,1,3,1,1,5,0.666666666666667,0.208333333333333,"Verbal"
1,"18 – 29 years","Single","Technical / vocational",NA,"Employed",0,NA,"Rural",0,"Weekly","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Very common","A lot","Once or twice a month",1,"Approach community leaders for support",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,3,1,3,1,1,5,0.666666666666667,0.208333333333333,"Denial_of_Needs"
1,"18 – 29 years","Single","Technical / vocational",NA,"Employed",0,NA,"Rural",0,"Weekly","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Very common","A lot","Once or twice a month",1,"Approach community leaders for support",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,3,1,3,1,1,5,0.666666666666667,0.208333333333333,"Denial_of_Communication"
1,"18 – 29 years","Single","Technical / vocational",NA,"Employed",0,NA,"Rural",0,"Weekly","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Very common","A lot","Once or twice a month",1,"Approach community leaders for support",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,3,1,3,1,1,5,0.666666666666667,0.208333333333333,"Sexual_Harassment"
1,"50 – 59 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Weekly","Several coping mechanisms (5-8)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A lot","2-3 times per week",1,"Seek support from a religious leader",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,2,0.666666666666667,3,1,1,5,0.583333333333333,0.25,"Physical"
1,"50 – 59 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Weekly","Several coping mechanisms (5-8)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A lot","2-3 times per week",1,"Seek support from a religious leader",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,2,0.666666666666667,3,1,1,5,0.583333333333333,0.25,"Verbal"
1,"50 – 59 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Weekly","Several coping mechanisms (5-8)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A lot","2-3 times per week",1,"Seek support from a religious leader",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,2,0.666666666666667,3,1,1,5,0.583333333333333,0.25,"Denial_of_Needs"
1,"50 – 59 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Weekly","Several coping mechanisms (5-8)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A lot","2-3 times per week",1,"Seek support from a religious leader",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,2,0.666666666666667,3,1,1,5,0.583333333333333,0.25,"Sexual_Harassment"
1,"50 – 59 years","Widowed","Completed primary",NA,"Employed",0,NA,"Urban",1,"Once or twice","Several coping mechanisms (5-8)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Daily",1,"Seek support from a religious leader",1,"Call/go to police",0,0,0,0,0,0,0,0,0,NA,0,7,6,0.875,2,0.666666666666667,3,1,1,6,0.212121212121212,0.304292929292929,"Physical"
1,"50 – 59 years","Widowed","Completed primary",NA,"Employed",0,NA,"Urban",1,"Once or twice","Several coping mechanisms (5-8)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Daily",1,"Seek support from a religious leader",1,"Call/go to police",0,0,0,0,0,0,0,0,0,NA,0,7,6,0.875,2,0.666666666666667,3,1,1,6,0.212121212121212,0.304292929292929,"Verbal"
