"disability_status","DV_Exposure","WellBeing_Score"
0,0,0.875
0,0,0.977777777777778
0,0,0.699074074074074
1,0,0.5375
0,0,0.722222222222222
0,1,0.583333333333333
0,1,0.544191919191919
0,0,0.800925925925926
1,0,0.7875
0,0,0.625
0,1,0.777777777777778
0,1,0.333333333333333
0,0,0.722222222222222
0,0,0.925925925925926
1,0,0.6375
0,0,0.861111111111111
0,0,0.763888888888889
0,0,0.597222222222222
1,0,0.575
1,0,0.45
0,0,0.763888888888889
0,0,0.650252525252525
0,0,0.930555555555556
0,0,0.805555555555556
1,0,0.766666666666667
1,0,0.775
0,0,0.597222222222222
1,0,0.5625
1,0,0.436363636363636
1,0,0.709722222222222
0,0,0.916666666666667
0,0,0.513888888888889
0,0,0.75
0,0,0.75
0,0,0.902777777777778
0,0,0.819444444444444
0,0,0.805555555555556
0,0,0.888888888888889
0,0,0.833333333333333
0,0,0.666666666666667
0,0,0.842592592592593
1,0,0.7375
0,0,0.555555555555556
0,0,0.888888888888889
0,0,0.851851851851852
0,0,0.652777777777778
0,0,0.722222222222222
1,0,0.654166666666667
1,0,0.766666666666667
0,0,0.847222222222222
0,0,0.763888888888889
0,0,0.773148148148148
0,0,0.803030303030303
0,0,0.916666666666667
0,0,0.689814814814815
0,0,0.458333333333333
0,0,0.5
1,0,0.75
0,0,0.486111111111111
0,0,0.861111111111111
0,0,0.597222222222222
0,0,0.611111111111111
0,0,0.523148148148148
0,0,0.833333333333333
0,0,0.777777777777778
0,0,0.888888888888889
0,0,0.75
0,0,0.5
1,0,0.8
1,0,0.8
1,0,0.45
0,0,0.944444444444444
1,0,0.866666666666667
0,0,0.763888888888889
0,0,0.583333333333333
0,1,0.75
1,1,0.5625
1,1,0.3
0,1,0.777777777777778
0,1,0.657407407407407
1,0,0.772727272727273
1,0,0.5875
0,0,0.588888888888889
0,0,1
0,0,0.777777777777778
0,0,0.888888888888889
0,0,0.902777777777778
0,0,0.884259259259259
1,1,0.6875
1,1,0.4
0,1,0.444444444444444
0,1,0.527777777777778
0,1,0.486111111111111
0,1,0.638888888888889
0,1,0.319444444444444
1,1,0.8
1,0,0.7625
0,0,0.777777777777778
1,0,0.775
1,0,0.7
0,0,0.685185185185185
0,0,0.583333333333333
0,1,0.569444444444445
0,1,0.592592592592593
0,1,0.708333333333333
1,1,0.668181818181818
0,1,0.583333333333333
1,1,0.45
0,1,0.564814814814815
0,1,0.50462962962963
0,1,0.347222222222222
1,1,0.45
0,0,0.888888888888889
0,0,0.731060606060606
0,0,0.888888888888889
0,0,0.814814814814815
0,0,0.722222222222222
0,0,0.795454545454545
0,1,0.736111111111111
1,1,0.625
1,1,0.3875
0,0,0.625
0,0,0.916666666666667
0,0,0.592592592592593
0,0,0.675925925925926
0,0,0.819444444444444
0,0,0.722222222222222
